;Название вакансии;Название компании;Город;Заработная плата;Опыт работы;Тип работы;URL;Описание
147;Аналитик отдела маркетинга; Фирменный Торговый Дом Царицыно;Москва;70000;3–6 лет;полный день;https://hh.ru/vacancy/34512451?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85;Прием и обработка данных по вторичным продажам. Обновление справочников по новым клиентам и торговым командам дистрибьюторов. Контроль корректности обновления данных... Опыт работы не менее 3 лет. Опыт работы с большими массивами данных. Владение пакетом Microsoft Office. Владение Excel (сводные таблицы...
148;Кредитный аналитик; Московский Центр Финансирования;Москва;45000;1–3 года;полный день;https://hh.ru/vacancy/34413111?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85;Проверка предоставленного клиентом пакета документов. Заполнение анкет и заявок. Занесение данных в Word, Excel. Составление отчетов по результатам работы. Образование от среднего профессионального (финансовый сектор). Уверенный пользователь ПК ( Word, excel). Ответственность, внимательность, дисциплинированность, исполнительность. Наличие опыта работы в сборе...
149;Экономист-аналитик;ООО Бухаутсорсинг плюс;Екатеринбург;35000;1–3 года;полный день;https://hh.ru/vacancy/34672759?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85;Проверка финансовых показателей филиалов и составление внутренней отчетности. Анализ ДДС, затрат и прибыли. Контроль межфилиальных расчетов. Знание бухгалтерского и налогового учета в сфере оптовой торговли. Навык составления внутренней отчетности для руководителей на основании данных 1С. 
150;WEB-аналитик; Мосплитка;Москва;90000;1–3 года;полный день;https://hh.ru/vacancy/34595535?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85;Построить и поддерживать систему сквозной аналитики, автоматизировать сбор данных и формировать отчеты в необходимых разрезах. Выстроить систему регулярной отчетности по... Опыт работы на позиции веб-аналитика. Умение работать с Google Tag Manager и системами веб-аналитики: Яндекс.Метрика, Google Analytics. 
151;Продуктовый аналитик / Web Product analyst; Центр онлайн-обучения „Нетология-групп“;Москва;150000;1–3 года;полный день;https://hh.ru/vacancy/34502675?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85;Взаимодействие с product managers по формулировке и тестированию гипотез. Построение системы проактивной аналитики, дэшбордов и систем мониторинга. Участие в проведении... Знания математической статистики. Отношения к аналитике как к продукту. Владения инструментами извлечения, обработки, анализа и визуализации данных (Excel, SQL, Power...
152;Аналитик;ООО ТекилаДжаз;Мурманск;40000;1–3 года;полный день;https://hh.ru/vacancy/34196559?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85;Осуществлять сбор информации по ценам. Подготавливать аналитические и отчетные материалы. Обеспечивать объективность анализа информации. Знание Excel (сложные формулы, сводные таблицы, диаграммы), в том числе макросы. Иметь высокие навыки визуализации данных в Excel. 
153;Аналитик отдела продаж; PROFI CREDIT;Санкт-Петербург;45000;1–3 года;полный день;https://hh.ru/vacancy/34695031?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85;Обеспечение своевременной подготовки ежемесячной/еженедельной/ежедневной централизованной отчетности в отделе продаж. Обработка и анализ данных. Формирование краткосрочных планов продаж (еженедельный... Опыт аналогичной работы от 1 года. Опыт расчета KPI или заработной платы будет вашим преимуществом. Отличное знание программы Excel (сводные...
154;Ведущий специалист / data scientist (big data, прогностическая аналитика, data mining);ЗАО Прогностические решения;Москва;150000;3–6 лет;полный день;https://hh.ru/vacancy/32765739?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85;Участие в проектах по созданию и внедрению аналитических систем и решений. Основные этапы проектов: Желателен опыт извлечения / подготовки данных / ETL. Желателен опыт работы, связанный с анализом данных и, в частности, с построением и внедрением...
155;Товарный аналитик / Менеджер по управлению товарными потоками;ООО Сигма Трейд;Москва;65500;1–3 года;полный день;https://hh.ru/vacancy/34385805?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85;Внутри-складская логистика: деление товара в соответствии с заказом, на основании потребностей каналов продаж, осуществление внутри-складских перемещений, резервирование. Аналитика... ...макросы – является преимуществом). Умение работать с большими массивами данных. Знание основ планирования, аналитики продаж. Внимание к цифрам, сосредоточенность, педантичность, математический...
156;Андеррайтер (гарантийный аналитик); ФБД;Москва;40000;1–3 года;полный день;https://hh.ru/vacancy/34700459?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85;...и аналитика документов клиентов на предмет получения банковских гарантий. Заполнение анкет и заявок. Работа с порталами и площадками. Занесение данных... Обязателен опыт работы в аналитике документации на получение Банковской гарантии. Ваше преимущество - умение и желание работать с большим объемом информации...
157;Ведущий аналитик;ООО Эксперт Юг Регион;Ростов-на-Дону;40000;1–3 года;полный день;https://hh.ru/vacancy/34598789?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85;Проведение опросов бизнеса (анкетирование и глубинные интервью). Работа со статистикой, большими данными, бизнес-аналитикой, подготовка инфографики. Написание аналитических материалов, обобщение... Владение различными методами анализа данных. Понимание методики социологических исследований. Уверенная работа с Excel, другими программами для анализа данных. 
158;Помощник менеджера (расчет, аналитик, первичная документация);ООО МТК ФР;Москва;50000;1–3 года;полный день;https://hh.ru/vacancy/34415440?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85;Анализ и поддержание товарных запасов фасованной продукции. Анализ продаж, выявление проблем, предложение расширения ассортимента. Обработка и создание баз данных. Умение работать и составлять аналитические таблицы Excel (обработка массивов данных, знание логических операторов, умение строить сложные формулы). Опыт работы от...
159;Главный специалист / аналитик медицинской статистики; Центр информационных технологий и систем органов исполнительной власти;Москва;85140;3–6 лет;полный день;https://hh.ru/vacancy/34644799?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85;осуществление статистического анализа данных. - проведение оценки достижения плановых значений показателей, национальных проектов «Демография» и «Здравоохранение», входящих в их состав федеральных... высокий уровень пользователя MS Office (Excel: формулы, сводные таблицы, знание VBA (написание макросов) является преимуществом). - умение в краткие сроки анализировать...
160;Аналитик; Формула М2;Барнаул;30000;1–3 года;полный день;https://hh.ru/vacancy/33946308?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85;Аналитика финансовых показателей и отчётности Компании. Аналитика показателей работы Компании. Аналитика показателей эффективности продуктовой линейки (ABC-XYZ анализ).  Умение работать в 1С и владение базами данных 1С. Владение аппаратом математической статистики и теории вероятности. 
161;Аналитик;ООО ТрансЛом;Москва;90000;1–3 года;полный день;https://hh.ru/vacancy/33918429?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85;...построение моделей долгосрочного прогноза. Подготовка расчетов/аналитических записок/презентаций. Подготовка аналитических материалов. Мониторинг отраслевой ситуации, сбор и обновление баз данных. Опыт работы со сложными математическими моделями (построение финансовых моделей). Опыт обработки большого массива данных. Продвинутый пользователь Excel. Знание 1С. 
162;Младший разработчик BI; Алерс Рус;Санкт-Петербург;50000;1–3 года;полный день;https://hh.ru/vacancy/34301308?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85;Разработка ботов для автоматизированной обработки и интеграции данных. Использование комбинированных знаний в области информатики и приложений, моделирования, статистики, аналитики и... Высшее или неоконченное высшее математическое/техническое/экономическое. Python 3 (sklearn, nltk, pandas, word2vec, numpy, scipy, keras, selenium, xgboost...
163;Младший бизнес-аналитик; Shop&Show;Москва;50000;1–3 года;полный день;https://hh.ru/vacancy/34568922?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85;Анализ данных из информационных систем. Согласование подготовленных документов с руководителями подразделений. Размещение документов в Базе данных.  Предыдущий опыт работы: Работа в качестве младшего бизнес-аналитика, стажера в отделе бизнес-анализа или начальная должность выпускника вуза (средний...
164;Бизнес-аналитик;ООО Группа компаний Юнион Владивосток;Владивосток;46000;1–3 года;полный день;https://hh.ru/vacancy/34695583?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85;Прогнозирование спроса, изучение тенденций, потребностей и возможностей. Сбор, обработка и сравнительный анализ данных. Расчет и оценка показателей, разработка предложений и... 1. Высшее образование (желательно математическое/экономическое). 2. Умение обрабатывать и анализировать большие объёмы информации. 3. Уверенный пользователь ПК, отчётность, 1...
165;Аналитик данных;ООО Лайм Эйч Ди;Чебоксары;52500;не требуется;полный день;https://hh.ru/vacancy/32946521?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85; умение трансформации бизнес-данных в математические модели. – знание основ эргономики и представления информации, практические навыки визуализации первичных данных, результатов и...
166;Веб-аналитик в агентство (автобизнес);ООО Интернет студия 100АП;Москва;85000;1–3 года;полный день;https://hh.ru/vacancy/34650602?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85;Постановка задач отделу разработку (проверка гипотез, доработка сайтов). Построить систему аналитики, автоматизировать сбор данных и формировать отчеты в необходимых разрезах... Продвинутые знания Excel. Личностные качества: системное аналитическое мышление, страсть к анализу данных и способность искать новые методы и инструменты для...
167;Аналитик; PLAYA;Смоленск;45000;1–3 года;гибкий график;https://hh.ru/vacancy/34686944?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85;Обрабатывать и структурировать массивы данных. Делать выводы и предложения исходя из обработки данных. Осуществлять коммуникации с коммерческим отделом, отделом маркетинга... Опыт работы с базами данных. Желание развиваться в сфере аналитики. Оконченное высшее образование. Хорошо развитые аналитические способности. Хорошо развитая ИТ...
168;Финансовый аналитик;ООО МОБИО;Москва;70000;1–3 года;полный день;https://hh.ru/vacancy/34460614?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85;Поддержка работоспособности скриптов в файлах. -Контроль за сроками и качеством данных. -Взаимодействие с разработкой по процессам автоматизации. Что предлагаем: -Непосредственное... Знание макросов в Excel (VBA) или скриптов в Google spreadsheets. -Понимание процессов автоматизации. -Знание SQL запросов на базовом уровне. -
169;Финансовый аналитик; Деньга;Санкт-Петербург;42500;1–3 года;полный день;https://hh.ru/vacancy/33796851?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85;Ведение управленческого учета и составление ежемесячной управленческой отчетности. Контроль правильности отражения данных и выявление ошибок при формировании управленческой отчетности.  Системное, аналитическое мышление. Внимательность, умение работать с большим объемом данных. Ответственный подход к решению поставленных задач. Понимание классификации и анализа...
170;Аналитик;ООО Айкрафт;Хабаровск;40000;1–3 года;полный день;https://hh.ru/vacancy/33706844?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85;Анализ и сведение основных показателей компании. - Аналитика продаж. - Мониторинг динамики NPS. - Анализ эффективности проводимых маркетинговых и HR - мероприятий. - Аналитика динамики... Умение работать с большим объемом информации и базами данных. Основы статистического анализа и деловой графики. Аналитический склад ума. 
171;Аналитик по продажам; Группа компаний «Новосибхолод»;Новосибирск;50000;3–6 лет;полный день;https://hh.ru/vacancy/34631081?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85;1. Сбор, консолидация и обработка данных: - остатки на складах дистрибьюторов. - вторичные продажи дистрибьюторов. - мониторинг цен. 2. Формирование прогноза продаж. 3.  Опыт аналитической работы с большим количеством позиций и товарных групп. Навык обработки больших массивов данных. Готовность пройти тестирование на знание...
172;Аналитик базы данных; Автохимия-Инвест;Москва;36900;1–3 года;полный день;https://hh.ru/vacancy/34638106?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85;"Ввод информации в базу данных различными средствами импорта из Excel. Выполнение типовых отчетов в базе данных и создание новых отчетов... Опыт работы желателен от 0,5 года, но не обязателен (есть возможность обучения). Основы статистического анализа. Опыт работы SQL; OLAP..."
173;Товарный аналитик; Группа компаний «Новосибхолод»;Новосибирск;50000;3–6 лет;полный день;https://hh.ru/vacancy/34494156?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85;Разработка и корректировка методики планирования. Организация планирования товарных и денежных потоков компании. Координация и корректировка деятельности подразделений на этапе планирования.  ...макросы – является преимуществом). Умение работать с большими массивами данных. Знание основ планирования, аналитики продаж. Внимание к цифрам, сосредоточенность, педантичность, математический...
174;Руководитель отдела закупок и транспортной логистики;ООО РУССКИЕ ТРАДИЦИИ;Москва;125000;более 6 лет;полный день;https://hh.ru/vacancy/34445610?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85;Поддержание актуальности ассортиментной матрицы. Сезонное и годовое планирование объема закупок действующего ассортимента. Определение порядка и процедуры закупок товаров, критериев и... Развитые управленческие качества. Стратегическое мышление, системность и аналитика. Ориентация на достижение результата. Эмоциональная компетентность. Опыт планирования закупок на 3 месяца...
175;Аналитик/ помощник аналитика;ООО Простор;Москва;50000;1–3 года;сменный график;https://hh.ru/vacancy/34690186?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85;Сбор, структурирование и систематизация данных. Ведение реестров, базы данных. Выгрузка и обработка данных из 1С. Составление отчетов по продажам... Опыт работы в сфере торговли. Опыт работы с большими объемами данных. Уверенный пользователь ПК, отличные навыки владения Excel, PowerPoint (сводные...
176;Аналитик-разработчик VBA; Mercury;Москва;138000;1–3 года;полный день;https://hh.ru/vacancy/34102289?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85;...и моделей в Excel (товарная аналитика). Разработка/поддержка системы отчетности на VBA, Python (товарная аналитика). Администрирование/поддержка пользователей внутреннего приложения... Профильное высшее техническое образование. Знания и опыт работы с MS Excel, глубокие знания VBA, Python. Приветствуются знания и опыт работы...
177;Продуктовый аналитик в телекоммуникационную компанию; Kelly Services;Москва;100000;3–6 лет;полный день;https://hh.ru/vacancy/34704380?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85;Трекинг данных из внешних источников. Консультация внутренних клиентов (product owners) по веб-аналитике. Документооборот с поставщиками услуг по персонализации, юзабилити... Высшее математическое или IT образование. Опыт создания высокотехнологичных онлайн проектов. Знания в области поисковой оптимизации и онлайн аналитики. 
178;Менеджер-аналитик по закупкам; Агроторг777;Волжский(Волгоградская область);32500;не требуется;полный день;https://hh.ru/vacancy/34387470?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85;Поиск в телефонном режиме производителей с/х продукции и КФХ (крупный рогатый скот). Поддержание базы данных в актуальном состоянии.  Аналитические способности. Исполнительность. Ответственность. Желание работать и зарабатывать.
179;Бизнес-аналитик в Отдел организационного развития; Бубль Гум, Розничная сеть;Владивосток;45000;1–3 года;полный день;https://hh.ru/vacancy/34470996?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85;Функционал: Сбор и анализ данных. Анализ бизнес-процессов. Планирование, мониторинг и контроль проектов. Разработка нормативных документов. Ведение базы нормативных документов... Навыки и компетенции: Высшее образование. Знание основ менеджмента качества, процессного подхода к управлению. Системное мышление. Логический склад ума. Высокая обучаемость. 
180;Аналитик;ООО Неометрия;Краснодар;42500;1–3 года;полный день;https://hh.ru/vacancy/33950723?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85;Рекомендации по политике ценообразования (по перспективным и текущим проектам). Работа с базами данных в формате MS Excel (внесение и актуализации... ...СМИ, сторонние базы данных, непосредственное общение с клиентами и участниками рынка), делать выводы исходя из полученных данных. Желателен опыт написания...
181;Аналитик;ООО КОНТИНЕНТ;Красноярск;31000;1–3 года;полный день;https://hh.ru/vacancy/33802056?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85;Подведение итогов проведения промо-мероприятий. Обработка массива данных. Составление отчетности. Работа в программе 1С: Управление торговлей, сведение данных в... Опыт работы на аналогичной должности от 2 лет. Умение работать с большим объемом информации. Аналитические способности. Умение работать в режиме...
182;Младший аналитик;ООО Технокад;Москва;55000;не требуется;гибкий график;https://hh.ru/vacancy/32459635?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85;Разработка технических заданий в виде пользовательских историй с использованием UML-диаграмм, прототипов интерфейсов, схем маппирования данных. Разработка технической документации (в... Высшее/неоконченное высшее техническое образование. Аналитический склад ума. Понимание принципов управления требованиями к программному обеспечению. Понимание процессов разработки программного обеспечения. 
183;Аналитик SQL Департамента коммуникационных стратегий;ПАО Совкомбанк;Казань;60000;1–3 года;полный день;https://hh.ru/vacancy/33358509?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85;Работа с базой данных MS SQL . Построение отчетности подразделения. Анализ клиентской базы и формирование сегментов для проведения маркетинговых кампаний.  ...работы с базой данных (обязательно). Навыки анализа данных. Умение структурировать информацию и работать с большими массивами данных. Хорошее знание Microsoft...
184;Бизнес-аналитик; Shop&Show;Москва;100000;1–3 года;полный день;https://hh.ru/vacancy/34569045?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85;Анализ данных из информационных систем. Согласование подготовленных документов с руководителями подразделений. Размещение документов в Базе данных.  Предыдущий опыт работы: Работа в качестве младшего бизнес-аналитика, бизнес-аналитика, стажера в отделе бизнес-анализа или начальная должность выпускника...
185;Аналитик службы складской логистики;АО МАКФА;Челябинск;55000;1–3 года;полный день;https://hh.ru/vacancy/34519982?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85;"Координация перемещения и распределения страховых товарных запасов по ассортименту в разрезе распределительных складов (собственные склады компании, склады стокистов или склады... ...сфере складской логистики. Знание особенностей работы ЗPL складов. Развитые аналитические способности; системное мышление. Умение работать с большими объемами баз данных."
186;Python Data Scientist; Web Interactive World;Москва;150000;1–3 года;полный день;https://hh.ru/vacancy/34524921?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85;Работа с большими объемами структурированных и неструктурированных данных. Подготовка данных, выявление закономерностей на признаках, feature engineering. Построение, оценка и внедрение... Опыт формулировки гипотез и их валидации для решения бизнес-задач компании в целях извлечения максимальной ценности из данных. 
187;Senior Data Scientist / Главный риск-аналитик в отдел корпоративных риск-моделей; ЗЕНИТ, банк;Москва;235000;1–3 года;полный день;https://hh.ru/vacancy/34664001?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85;Участие во всех этапах жизненного цикла моделей, в т.ч. при подготовке данных, разработке, проверке качества, валидации, оценке сценариев применения... Уверенное владение Python и основными библиотеками для анализа данных (numpy, pandas, sklearn и другие). Опыт разработки и внедрения скоринговых моделей...
188;Главный аналитик-математик (Data Analyst / Data Scientist); Связной;Москва;205000;3–6 лет;полный день;https://hh.ru/vacancy/30250856?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85;...данных методами математической статистики, Machine Learning и Data Mining, поиск аномалий, очистка от шумов, предобработка для использования в алгоритмах аналитики... Опыт обработки временных рядов, обработки пропущенных данных, выделения закономерностей и аномалий. Опыт обработки временных рядов, обработки пропущенных данных, выделения закономерностей...
189;Аналитик; Black Star;Москва;70000;1–3 года;полный день;https://hh.ru/vacancy/34666086?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85;Разработка и подготовка аналитических отчетов на основе данных YouTube, WordStat, LiveDune, стриминговых инструментов по основным KPI по каждому артисту.  Высшее образование, релевантный опыт работы от 1 года. Опыт работы с большим объемами информации, умение выделять основные тенденции, взаимосвязи. 
190;Бизнес-аналитик; VIRTEX-FOOD;Новосибирск;70000;1–3 года;полный день;https://hh.ru/vacancy/34249233?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85;Сбор и обработка данных из КИБ ЕРП 1С , отчетов клиентов и журналов компании, организация баз данных. Обработка статистической информации... Понимание принципов проектирования баз данных, навыки работы с базами данных. Желателен опыт работы в программировании. Навыки бизнес-анализа и оптимизации...
191;BI (Tableau / PowerBI) Developer; ICS;Москва;140000;1–3 года;полный день;https://hh.ru/vacancy/34336223?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85;...бизнес-аналитики и визуализации данных: Tableau, PowerBI. Стек продуктов Microsoft SQL Server. Многопоточные и параллельные ETL процессы. Высоконагруженные хранилища данных.  ...бизнес-аналитики и визуализации данных: Tableau, Power BI от 1 года. Заинтересованность в профессиональном росте в области бизнес-аналитики и...
192;Аналитик; ИПЦ Консультант+Аскон;Санкт-Петербург;32000;не требуется;полный день;https://hh.ru/vacancy/34568808?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85;Подготовка и обработка выборок в базе данных. Поиск дополнительной информации о компаниях. Анализ рынка с целью идентификации перспективных клиентов.  Продвинутый пользователь ПК. Образование в области информационных технологий (среднее специальное законченное/ высшее н/законченное (вечерняя, заочная ф.о.) высшее законченное). 
193;Аналитик отдела маркетинга; Торговая компания Воронцова;Омск;22000;1–3 года;полный день;https://hh.ru/vacancy/31977894?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85;Работа с программой 1С и другими учетными системами поставщиков (CRM). Согласование, запуск, подведение итогов ТМА. Подготовка аналитических отчетов.  Отличное знание 1С, Excel. Опыт работы с большим объемом данных. Аналитическое мышление, навыки анализа данных. Ответственность и внимательность, умение...
194;Менеджер по импортным закупкам/аналитик отдела ВЭД и закупок;ООО КРЕАТИВГРУПП;Москва;70000;3–6 лет;полный день;https://hh.ru/vacancy/34704667?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85;При необходимости - подготовка данных для информирования руководства компании обо всех отклонениях от предварительных договоренностей с поставщиком. - запрос у поставщиков данных... 
195;Системный аналитик; СИСЛИНК;Москва;80000;1–3 года;полный день;https://hh.ru/vacancy/34685932?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85;Подготовка технических заданий на настройку сервиса передачи электронных документов (EDI и ЮЗД с ЭЦП, смежных сервисов). Подготовка XML-спецификаций для... Опыт работы системным аналитиком от 2-х лет. XML, XSD, SOAP. SQL на уровне понимания баз данных. Опыт проектирования пользовательских...
196;Веб-аналитик; AdSpire LLC.;Москва;50000;не требуется;полный день;https://hh.ru/vacancy/34516677?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85;Разработка и создание новых отчетов. Сбор и агрегация данных из продуктов компании и внешних сервисов (Google Analytics, Яндекс Метрика и... Опыт решения задач в области анализа данных. Опыт успешной автоматизации расчетов и обработки данных, высокий уровень навыков работы в Excel...
197;Аналитик-дизайнер UX/UI;ООО СКАЙТРЭК;Москва;120000;не требуется;полный день;https://hh.ru/vacancy/34578596?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85;Проведение анализа предметной области. Формализация процессной модели/пользовательских сценариев, лежащих в основе приложения. Проектирование, реализация и тестирование дизайна UI/UX... Высшее образование (месяц в Тибете может быть засчитан за 5 лет в университете – нам важен результат образовательного процесса, а не...
