;Название вакансии;Название компании;Город;Заработная плата;Опыт работы;Тип работы;URL;Описание
17;Data Scientist (специалист по анализу данных);ООО Shortest Track;Новосибирск;75000;1–3 года;полный день;https://hh.ru/vacancy/34674269?query=Data%20scientist;"Генерация гипотез, постановка экспериментов совместно с удаленной командой Data Scientists. Разработка, доставка и поддержка прикладных решений машинного обучения; и.  статистики. Знание английского языка на уровне Intermediate. Опыт работы с data science стеком: sklearn, keras, pytorch. Опыт работы в Linux..."
18;Senior Data Scientist / Главный риск-аналитик в отдел корпоративных риск-моделей; ЗЕНИТ, банк;Москва;235000;1–3 года;полный день;https://hh.ru/vacancy/34664001?query=Data%20scientist;Исследование новых алгоритмов и подходов, развитие экспертизы подразделения в области data science и machine learning. Исследование внутренних и внешних источников... Интерес к сфере анализа данных и машинного обучения, желание развиваться в этом направлении. Высшее образование (математическое, техническое, экономическое). 
19;NodeJS developer (to work side by side with data scientists); InsightWhale;Омск;85000;1–3 года;удаленная работа;https://hh.ru/vacancy/34667673?query=Data%20scientist;Building modules for BI products (like PowerBI) and other data related products on Node.js. Participating in team project calls to... Experience with JavaScript и Node.js at least 2 years. Experience building data visualizations on Node.js or some other JS frameworks...
20;Python-разработчик / Data Engineer;ООО РАБЛЗ;Москва;200000;1–3 года;полный день;https://hh.ru/vacancy/34103918?query=Data%20scientist;Быстрая разработка прототипов решений. Поддержка data scientist’ов и аналитиков данных (также работают на Python) в разработческих задачах.  Опыт промышленной разработкой на python (pytest, многопоточность, CI/CD, git, метаклассы и др.). Опыт работы с различными хранилищами данных и...
21;Machine Learning Developer (AWS);ООО ClearScale;Краснодар;320000;более 6 лет;удаленная работа;https://hh.ru/vacancy/34650065?query=Data%20scientist;Create data repositories for machine learning. Identify and implement a data-ingestion solution. Identify and implement a data-transformation solution.  Masters or Ph.D. in the related field. Hands-on experience in the practical applications of Probability and Statistics, Linear...
22;Computer Vision Data scientist; AROUND, Группа компаний;Москва;130000;1–3 года;полный день;https://hh.ru/vacancy/34483351?query=Data%20scientist;Доработка алгоритма детекции (отсеивать некорректные детекции). Создание качественного изображения. Доработка алгоритма распознавания (создание более правильных дескрипторов). Доработка алгоритма идентификации (при... Алгоритмы распознавания лиц. Кластеризация изображений. Сегментация изображений и детекция объектов. Python, tensorflow, keras, postgres, docker. Опыт использования нейросетей в задачах...
23;Machine Learning Developer (AWS);ООО ClearScale;Москва;320000;более 6 лет;удаленная работа;https://hh.ru/vacancy/34650062?query=Data%20scientist;Create data repositories for machine learning. Identify and implement a data-ingestion solution. Identify and implement a data-transformation solution.  Hands-on experience with ElasticSearch. Hands-on experience with advanced Python data frameworks (Seaborn, PyTorch, Dask). Valid AWS certificates would...
24;Data Scientist;ООО Атлас;Санкт-Петербург;150000;3–6 лет;полный день;https://hh.ru/vacancy/34578774?query=Data%20scientist;Data collection and preparation. Design of end-to-end analytical solutions (predictive and prescriptive modeling). Algorithm development and optimization. Data... ...supervised and unsupervised Machine Learning techniques. Advanced level of prototyping of ML techniques. Proficiency in data visualization and reporting tools.
25;Python developer (Data Engineer); Admitad;Москва;140000;1–3 года;гибкий график;https://hh.ru/vacancy/33647219?query=Data%20scientist;Тестирование и внедрение новых Business Intelligence продуктов. Помощь и консультирование разработчиков, аналитиков и data scientist’ов. Ведение документации по разрабатываемым... Знание Grafana. Знание дополнительно одного из языков JS / Java / Ruby / C++. Знания в области data science и аналитики.
26;Аналитик баз данных (Data Scientist); Федеральная антимонопольная служба;Москва;95000;1–3 года;полный день;https://hh.ru/vacancy/34588606?query=Data%20scientist;Анализ информации, содержащейся в информационных системах ФАС России, а также в различных внешних источниках. Написание кода по обработке данных на... Образование высшее. Опыт работы в качестве аналитика от 1 года. Знание Python. Опыт работы с библиотеками Pandas, NumPy, SciPy, Matplotlib. 
27;Data scientist; DigitalHR;Москва;300000;3–6 лет;полный день;https://hh.ru/vacancy/34559568?query=Data%20scientist;Сегментация и анализ клиентской базы (supervised и unsupervised), выделение паттернов поведения. Поиск инсайтов, рекомендации по их применению в продуктах и... Высшее математическое или техническое образование. Опыт работы в data science с задачами, связанными с анализом клиентов - будет преимуществом. 
28;Аналитик скоринга / Data Scientist; МигКредит;Москва;80000;не требуется;полный день;https://hh.ru/vacancy/33253737?query=Data%20scientist;Разработка скоринговых карт. Разработка и тестирование предикторов для скоринговых моделей, в том числе и с использованием внешних данных (telecom, web... Высшее образование в области финансов, экономики, математики/физики или студент последнего курса. Уверенные знания минимум одного из инструментов Python/SQL...
29;Исследователь в области машинного обучения и анализа данных; Университет ИТМО;Санкт-Петербург;100000;1–3 года;полный день;https://hh.ru/vacancy/34076305?query=Data%20scientist;Исследователь в области машинного обучения и анализа данных / ML Researcher / Data Scientist. Национальный Центр Когнитивных Разработок и НИИ Наукоемких Компьютерных... Высшее образование в области прикладной математики: магистр или специалист (ученая степень по техническим или физико-математическим наукам будет значительным преимуществом). 
30;Data Scientist (NLP); Платформа ОФД;Москва;250000;1–3 года;полный день;https://hh.ru/vacancy/33811532?query=Data%20scientist;Решение исследовательских и прикладных задач в рамках создания и развития продуктов компании с применением современных методов статистического анализа и машинного... Высшее образование. Знание и опыт решения реальных бизнес-задач, используя методы машинного обучения и статистического анализа. Опыт применения Python для...
31;Data Scientist в R&D центр (анализ текстов); ГК «ВИЗАВИ Консалт»;Сочи;120000;1–3 года;полный день;https://hh.ru/vacancy/34500561?query=Data%20scientist;Построение моделей машинного обучения с применением статистических методов и методов машинного обучения с использованием нейронных сетей. Построение моделей в области... Знание и практический опыт разработки моделей машинного обучения. Знание инструментов и теории обработки текстовой информации. Профильное высшее образование в области...
32;Начинающий специалист по Data Scientist (аналитик больших данных); 1C-Рарус;Новосибирск;25000;не требуется;полный день;https://hh.ru/vacancy/32864246?query=Data%20scientist;Участия в проектах, связанных с обработкой больших массивов данных, систем принятия решений, машинного обучения и искусственного интеллекта, реализации программно-алгоритмических... Знания в области artificial intelligence, big data, математики, информатики. Абстрактное мышление. Приветствуется опыт обработки больших массивов данных. Общая грамотность в...
33;Data Scientist в R&D центр (временные ряды, классические методы машинного обучения); ГК «ВИЗАВИ Консалт»;Сочи;120000;1–3 года;полный день;https://hh.ru/vacancy/34500576?query=Data%20scientist;Построение моделей машинного обучения с применением методов анализа временных рядов и классических методов машинного обучения. Проведение разведочного анализа данных.  Знание и практический опыт разработки моделей машинного обучения. Знание инструментов и теории анализа временных рядов и классических методов машинного обучения...
34;Аналитик данных (Data Scientist);ООО Премьер Аналитика;Москва;150000;3–6 лет;полный день;https://hh.ru/vacancy/34483948?query=Data%20scientist;Поиск потребительских инсайтов на основе анализа различных показателей. Формирование предложений по созданию новых и корректировке существующих товаров, услуг, направленных на... Высшее образование: математика, математическая статистика, экономико-математическое моделирование, бизнес-информатика, кибернетика. Опыт работы с маркетинговыми данными и маркетинговой аналитикой на...
35;Аналитик-разработчик (Data scientist); StudyWorld;Санкт-Петербург;150000;3–6 лет;полный день;https://hh.ru/vacancy/34468251?query=Data%20scientist;Комплексное внедрение мультиканальной аналитики (на основе zeppelin + greenplum). Анализ эффективности рекламных кампаний, продукта и продуктовых изменений. Анализ конверсий, ROI... Наши пожелания к опыту: Аналогичный опыт работы (E-commerce, SAAS, Финтех, Скоринг, Гемблинг). Опыт работы в zeppelin, greenplum, визуализация отчетов. 
36;Разработчик data scientist (python, TensorFlow);ООО Виста;Санкт-Петербург;60000;1–3 года;полный день;https://hh.ru/vacancy/34530646?query=Data%20scientist;Личный кабинет пациента iOS vistamed. * Мессенджер ТАДАМ iOS/Android/Web. * Разработка нейросети с использованием алгоритма TensorFlow для распознавания фото и... Владение Python2/3.
37;Data Scientist; JetBrains;Москва;170000;3–6 лет;гибкий график;https://hh.ru/vacancy/33204430?query=Data%20scientist;Формализация требований к сбору обучающей выборки. Генерация и проверка гипотез. Проведение исследований алгоритмов машинного обучения. Дизайн, разработка и тюнинг моделей... Опыт работы на схожей позиции от 3 лет. Знание теории вероятностей, математического анализа и линейной алгебры, достаточного для чтения научных...
38;Junior Data Scientist;ПАО КБ «Уральский банк реконструкции и развития» (УБРиР);Екатеринбург;43000;не требуется;полный день;https://hh.ru/vacancy/34432957?query=Data%20scientist;Формирование данных по техническим заданиям, сопровождение и наполнение хранилищ данных, используемых для анализа рисков и машинного обучения в процессе кредитования... Имеет высшее математическое, техническое или экономическое образование. Обладает знаниями в области теории вероятностей и математической статистики. Имеет аналитический склад ума...
39;Data scientist (ML разработчик, python); Mindbox;Москва;155000;1–3 года;полный день;https://hh.ru/vacancy/34029220?query=Data%20scientist;Автономная команда, микросервис выполнения и тестирования ML моделей, есть у кого учиться. Пятнадцать терабайт размеченных данных про лучшие компании: от... Опыт практического ML / Kaggle. Поддерживаемый продакшен код с тестами (Python 3.6, 3.7, pandas). Уверенный SQL: все данные в...
40;Эксперт аналитического центра / Data scientist; Сибирская генерирующая Компания УК;Новосибирск;100000;3–6 лет;полный день;https://hh.ru/vacancy/34401383?query=Data%20scientist;Применение машинного обучения для решения бизнес- задач. Формирование гипотезы и определение необходимых источников данных совместно с бизнес- Заказчиком.  Высшее техническое/ математическое образование. Наличие опыта разработки программного обеспечения является преимуществом. Знание и опыт применения основных алгоритмов машинного обучения для...
41;Programmatic Analyst, Data Scientist for Eastern Europe; «Procter & Gamble», Молодой специалист;Москва;95000;не требуется;полный день;https://hh.ru/vacancy/33455477?query=Data%20scientist;Establishment of needed data pipes between data sources to enable data and process completeness. Generation of new consumer segments within... Strong communications and leadership skills. Python / R as job requirement. Experience of working with DMP: knowledge of DMP and its...
42;Data Scientist / BE-разработчик с ETL-функцией; upride;Новосибирск;80000;3–6 лет;гибкий график;https://hh.ru/vacancy/34453399?query=Data%20scientist;Сбор, экспорт и обработка данных. Экспорт неструктурированных данных, написание парсеров, разработка алгоритмов обработки. Поиск зависимостей, формирование предсказаний. Подготовка данных для... Уверенное владение Python. Опыт разработки парсеров. Знакомство с Pandas и NumPy. Достаточные знания SQL, PostgreSQL. Будет плюсом: Опыт работы с...
